,icd9,icd9_desc
3669,36201,Background diabetic retinopathy
3670,36202,Proliferative diabetic retinopathy
3671,36203,Nonproliferative diabetic retinopathy NOS
3672,36204,Mild nonproliferative diabetic retinopathy
3673,36205,Moderate nonproliferative diabetic retinopathy
3674,36206,Severe nonproliferative diabetic retinopathy
3675,36207,Diabetic macular edema
3676,36210,Background retinopathy
3677,36211,Hypertensive retinopathy
3678,36212,Exudative retinopathy
3679,36213,Changes in vascular appearance of retina
3680,36214,Retinal microaneurysms NOS
3681,36215,Retinal telangiectasia
3682,36216,Retinal neovascularization NOS
3683,36217,Other intraretinal microvascular abnormalities
3684,36218,Retinal vasculitis
3685,36220,Retinopathy of prematurity
3686,36221,Retrolental fibroplasia
3687,36222,Retinopathy of prematurity
3688,36223,Retinopathy of prematurity
3689,36224,Retinopathy of prematurity
3690,36225,Retinopathy of prematurity
3691,36226,Retinopathy of prematurity
3692,36227,Retinopathy of prematurity
3693,36229,Other nondiabetic proliferative retinopathy
3694,36230,Retinal vascular occlusion
3695,36231,Central retinal artery occlusion
3696,36232,Retinal arterial branch occlusion
3697,36233,Partial retinal arterial occlusion
3698,36234,Transient retinal arterial occlusion
3699,36235,Central retinal vein occlusion
3700,36236,Venous tributary (branch) occlusion
3701,36237,Venous engorgement
3702,36240,Retinal layer separation
3703,36241,Central serous retinopathy
3704,36242,Serous detachment of retinal pigment epithelium
3705,36243,Hemorrhagic detachment of retinal pigment epithelium
3706,36250,Macular degeneration (senile)
3707,36251,Nonexudative senile macular degeneration
3708,36252,Exudative senile macular degeneration
3709,36253,Cystoid macular degeneration
3710,36254,Macular cyst
3711,36255,Toxic maculopathy
3712,36256,Macular puckering
3713,36257,Drusen (degenerative)
3714,36260,Peripheral retinal degeneration
3715,36261,Paving stone degeneration
3716,36262,Microcystoid degeneration
3717,36263,Lattice degeneration
3718,36264,Senile reticular degeneration
3719,36265,Secondary pigmentary degeneration
3720,36266,Secondary vitreoretinal degenerations
3721,36270,Hereditary retinal dystrophy
3722,36271,Retinal dystrophy in systemic or cerebroretinal lipidoses
3723,36272,Retinal dystrophy in other systemic disorders and syndromes
3724,36273,Vitreoretinal dystrophies
3725,36274,Pigmentary retinal dystrophy
3726,36275,Other dystrophies primarily involving the sensory retina
3727,36276,Dystrophies primarily involving the retinal pigment epithelium
3728,36277,Dystrophies primarily involving Bruch's membrane
3729,36281,Retinal hemorrhage
3730,36282,Retinal exudates and deposits
3731,36283,Retinal edema
3732,36284,Retinal ischemia
3733,36285,Retinal nerve fiber bundle defects
3734,36289,Other retinal disorders
3735,3629, Unspecified retinal disorder
3736,36300,Focal chorioretinitis
3737,36301,Focal choroiditis and chorioretinitis
3738,36303,Focal choroiditis and chorioretinitis of other posterior pole
3739,36304,Focal choroiditis and chorioretinitis
3740,36305,Focal retinitis and retinochoroiditis
3741,36306,Focal retinitis and retinochoroiditis
3742,36307,Focal retinitis and retinochoroiditis of other posterior pole
3743,36308,Focal retinitis and retinochoroiditis
3744,36310,Disseminated chorioretinitis
3745,36311,Disseminated choroiditis and chorioretinitis
3746,36312,Disseminated choroiditis and chorioretinitis
3747,36313,Disseminated choroiditis and chorioretinitis
3748,36314,Disseminated retinitis and retinochoroiditis
3749,36315,Disseminated retinitis and retinochoroiditis
3750,36320,Chorioretinitis
3751,36321,Pars planitis
3752,36322,Harada's disease
3753,36330,Chorioretinal scar
3754,36331,Solar retinopathy
3755,36332,Other macular scars
3756,36333,Other scars of posterior pole
3757,36334,Peripheral scars
3758,36335,Disseminated scars
3759,36340,Choroidal degeneration
3760,36341,Senile atrophy of choroid
3761,36342,Diffuse secondary atrophy of choroid
3762,36343,Angioid streaks of choroid
3763,36350,Hereditary choroidal dystrophy or atrophy
3764,36351,Circumpapillary dystrophy of choroid
3765,36352,Circumpapillary dystrophy of choroid
3766,36353,Central dystrophy of choroid
3767,36354,Central choroidal atrophy
3768,36355,Choroideremia
3769,36356,Other diffuse or generalized dystrophy of choroid
3770,36357,Other diffuse or generalized dystrophy of choroid
3771,36361,Choroidal hemorrhage
3772,36362,Expulsive choroidal hemorrhage
3773,36363,Choroidal rupture
3774,36370,Choroidal detachment
3775,36371,Serous choroidal detachment
3776,36372,Hemorrhagic choroidal detachment
3777,3638, Other disorders of choroid
3778,3639, Unspecified disorder of choroid
3779,36400,Acute and subacute iridocyclitis
3780,36401,Primary iridocyclitis
3781,36402,Recurrent iridocyclitis
3782,36403,Secondary iridocyclitis
3783,36404,Secondary iridocyclitis
3784,36405,Hypopyon
3785,36410,Chronic iridocyclitis
3786,36411,Chronic iridocyclitis in diseases classified elsewhere
3787,36421,Fuchs' heterochromic cyclitis
3788,36422,Glaucomatocyclitic crises
3789,36423,Lens-induced iridocyclitis
3790,36424,Vogt-koyanagi syndrome
3791,3643, Unspecified iridocyclitis
3792,36441,Hyphema of iris and ciliary body
3793,36442,Rubeosis iridis
3794,36451,Essential or progressive iris atrophy
3795,36452,Iridoschisis
3796,36453,Pigmentary iris degeneration
3797,36454,Degeneration of pupillary margin
3798,36455,Miotic cysts of pupillary margin
3799,36456,Degenerative changes of chamber angle
3800,36457,Degenerative changes of ciliary body
3801,36459,Other iris atrophy
3802,36460,Idiopathic cysts of iris
3803,36461,Implantation cysts of iris
3804,36462,Exudative cysts of iris or anterior chamber
3805,36463,Primary cyst of pars plana
3806,36464,Exudative cyst of pars plana
3807,36470,Adhesions of iris
3808,36471,Posterior synechiae of iris
3809,36472,Anterior synechiae of iris
3810,36473,Goniosynechiae
3811,36474,Adhesions and disruptions of pupillary membranes
3812,36475,Pupillary abnormalities
3813,36476,Iridodialysis
3814,36477,Recession of chamber angle of eye
3815,36481,Floppy iris syndrome
3816,36482,Plateau iris syndrome
3817,36489,Other disorders of iris and ciliary body
3818,3649, Unspecified disorder of iris and ciliary body
3819,36500,Preglaucoma
3820,36501,Open angle with borderline findings
3821,36502,Anatomical narrow angle borderline glaucoma
3822,36503,Steroid responders borderline glaucoma
3823,36504,Ocular hypertension
3824,36505,Open angle with borderline findings
3825,36506,Primary angle closure without glaucoma damage
3826,36510,Open-angle glaucoma
3827,36511,Primary open angle glaucoma
3828,36512,Low tension open-angle glaucoma
3829,36513,Pigmentary open-angle glaucoma
3830,36514,Glaucoma of childhood
3831,36515,Residual stage of open angle glaucoma
3832,36520,Primary angle-closure glaucoma
3833,36521,Intermittent angle-closure glaucoma
3834,36522,Acute angle-closure glaucoma
3835,36523,Chronic angle-closure glaucoma
3836,36524,Residual stage of angle-closure glaucoma
3837,36531,Corticosteroid-induced glaucoma
3838,36532,Corticosteroid-induced glaucoma
3839,36541,Glaucoma associated with chamber angle anomalies
3840,36542,Glaucoma associated with anomalies of iris
3841,36543,Glaucoma associated with other anterior segment anomalies
3842,36544,Glaucoma associated with systemic syndromes
3843,36551,Phacolytic glaucoma
3844,36552,Pseudoexfoliation glaucoma
3845,36559,Glaucoma associated with other lens disorders
3846,36560,Glaucoma associated with unspecified ocular disorder
3847,36561,Glaucoma associated with pupillary block
3848,36562,Glaucoma associated with ocular inflammations
3849,36563,Glaucoma associated with vascular disorders
3850,36564,Glaucoma associated with tumors or cysts
3851,36565,Glaucoma associated with ocular trauma
3852,36570,Glaucoma stage
3853,36571,Mild stage glaucoma
3854,36572,Moderate stage glaucoma
3855,36573,Severe stage glaucoma
3856,36574,Indeterminate stage glaucoma
3857,36581,Hypersecretion glaucoma
3858,36582,Glaucoma with increased episcleral venous pressure
3859,36583,Aqueous misdirection
3860,36589,Other specified glaucoma
3861,3659, Unspecified glaucoma
3862,36600,Nonsenile cataract
3863,36601,Anterior subcapsular polar cataract
3864,36602,Posterior subcapsular polar cataract
3865,36603,Cortical
3866,36604,Nuclear cataract
3867,36609,Other and combined forms of nonsenile cataract
3868,36610,Senile cataract
3869,36611,Pseudoexfoliation of lens capsule
3870,36612,Incipient senile cataract
3871,36613,Anterior subcapsular polar senile cataract
3872,36614,Posterior subcapsular polar senile cataract
3873,36615,Cortical senile cataract
3874,36616,Senile nuclear sclerosis
3875,36617,Total or mature cataract
3876,36618,Hypermature cataract
3877,36619,Other and combined forms of senile cataract
3878,36620,Traumatic cataract
3879,36621,Localized traumatic opacities
3880,36622,Total traumatic cataract
3881,36623,Partially resolved traumatic cataract
3882,36630,Cataracta complicata
3883,36631,Glaucomatous flecks (subcapsular)
3884,36632,Cataract in inflammatory ocular disorders
3885,36633,Cataract with neovascularization
3886,36634,Cataract in degenerative ocular disorders
3887,36641,Diabetic cataract
3888,36642,Tetanic cataract
3889,36643,Myotonic cataract
3890,36644,Cataract associated with other syndromes
3891,36645,Toxic cataract
3892,36646,Cataract associated with radiation and other physical influences
3893,36650,After-cataract
3894,36651,Soemmering's ring
3895,36652,Other after-cataract
3896,36653,After-cataract
3897,3668, Other cataract
3898,3669, Unspecified cataract
3899,3670, Hypermetropia
3900,3671, Myopia
3901,36720,Astigmatism
3902,36721,Regular astigmatism
3903,36722,Irregular astigmatism
3904,36731,Anisometropia
3905,36732,Aniseikonia
3906,3674, Presbyopia
3907,36751,Paresis of accommodation
3908,36752,Total or complete internal ophthalmoplegia
3909,36753,Spasm of accommodation
3910,36781,Transient refractive change
3911,36789,Other disorders of refraction and accommodation
3912,3679, Unspecified disorder of refraction and accommodation
3913,36800,Amblyopia
3914,36801,Strabismic amblyopia
3915,36802,Deprivation amblyopia
3916,36803,Refractive amblyopia
3917,36810,Subjective visual disturbance
3918,36811,Sudden visual loss
3919,36812,Transient visual loss
3920,36813,Visual discomfort
3921,36814,Visual distortions of shape and size
3922,36815,Other visual distortions and entoptic phenomena
3923,36816,Psychophysical visual disturbances
3924,3682, Diplopia
3925,36830,Binocular vision disorder
3926,36831,Suppression of binocular vision
3927,36832,Simultaneous visual perception without fusion
3928,36833,Fusion with defective stereopsis
3929,36834,Abnormal retinal correspondence
3930,36840,Visual field defect
3931,36841,Scotoma involving central area
3932,36842,Scotoma of blind spot area
3933,36843,Sector or arcuate visual field defects
3934,36844,Other localized visual field defect
3935,36845,Generalized visual field contraction or constriction
3936,36846,Homonymous bilateral field defects
3937,36847,Heteronymous bilateral field defects
3938,36851,Protan defect
3939,36852,Deutan defect
3940,36853,Tritan defect
3941,36854,Achromatopsia
3942,36855,Acquired color vision deficiencies
3943,36859,Other color vision deficiencies
3944,36860,Night blindness
3945,36861,Congenital night blindness
3946,36862,Acquired night blindness
3947,36863,Abnormal dark adaptation curve
3948,36869,Other night blindness
3949,3688, Other specified visual disturbances
3950,3689, Unspecified visual disturbance
3951,36900,Profound impairment
3952,36901,Better eye: total vision impairment; lesser eye: total vision impairment
3953,36902,Better eye: near-total vision impairment; lesser eye: not further specified
3954,36903,Better eye: near-total vision impairment; lesser eye: total vision impairment
3955,36904,Better eye: near-total vision impairment; lesser eye: near-total vision impairment
3956,36905,Better eye: profound vision impairment; lesser eye: not further specified
3957,36906,Better eye: profound vision impairment; lesser eye: total vision impairment
3958,36907,Better eye: profound vision impairment; lesser eye: near-total vision impairment
3959,36908,Better eye: profound vision impairment; lesser eye: profound vision impairment
3960,36910,Moderate or severe impairment
3961,36911,Better eye: severe vision impairment; lesser eye: blind
3962,36912,Better eye: severe vision impairment; lesser eye: total vision impairment
3963,36913,Better eye: severe vision impairment; lesser eye: near-total vision impairment
3964,36914,Better eye: severe vision impairment; lesser eye: profound vision impairment
3965,36915,Better eye: moderate vision impairment; lesser eye: blind
3966,36916,Better eye: moderate vision impairment; lesser eye: total vision impairment
3967,36917,Better eye: moderate vision impairment; lesser eye: near-total vision impairment
3968,36918,Better eye: moderate vision impairment; lesser eye: profound vision impairment
3969,36920,Moderate or severe impairment
3970,36921,Better eye: severe vision impairment; lesser eye; impairment not further specified
3971,36922,Better eye: severe vision impairment; lesser eye: severe vision impairment
3972,36923,Better eye: moderate vision impairment; lesser eye: impairment not further specified
3973,36924,Better eye: moderate vision impairment; lesser eye: severe vision impairment
3974,36925,Better eye: moderate vision impairment; lesser eye: moderate vision impairment
3975,3693, Unqualified visual loss
3976,3694, Legal blindness
3977,36960,Profound impairment
3978,36961,One eye: total vision impairment; other eye: not specified
3979,36962,One eye: total vision impairment; other eye: near-normal vision
3980,36963,One eye: total vision impairment; other eye: normal vision
3981,36964,One eye: near-total vision impairment; other eye: vision not specified
3982,36965,One eye: near-total vision impairment; other eye: near-normal vision
3983,36966,One eye: near-total vision impairment; other eye: normal vision
3984,36967,One eye: profound vision impairment; other eye: vision not specified
3985,36968,One eye: profound vision impairment; other eye: near-normal vision
3986,36969,One eye: profound vision impairment; other eye: normal vision
3987,36970,Moderate or severe impairment
3988,36971,One eye: severe vision impairment; other eye: vision not specified
3989,36972,One eye: severe vision impairment; other eye: near-normal vision
3990,36973,One eye: severe vision impairment; other eye: normal vision
3991,36974,One eye: moderate vision impairment; other eye: vision not specified
3992,36975,One eye: moderate vision impairment; other eye: near-normal vision
3993,36976,One eye: moderate vision impairment; other eye: normal vision
3994,3698, Unqualified visual loss
3995,3699, Unspecified visual loss
3996,37000,Corneal ulcer
3997,37001,Marginal corneal ulcer
3998,37002,Ring corneal ulcer
3999,37003,Central corneal ulcer
4000,37004,Hypopyon ulcer
4001,37005,Mycotic corneal ulcer
4002,37006,Perforated corneal ulcer
4003,37007,Mooren's ulcer
4004,37020,Superficial keratitis
4005,37021,Punctate keratitis
4006,37022,Macular keratitis
4007,37023,Filamentary keratitis
4008,37024,Photokeratitis
4009,37031,Phlyctenular keratoconjunctivitis
4010,37032,Limbar and corneal involvement in vernal conjunctivitis
4011,37033,Keratoconjunctivitis sicca
4012,37034,Exposure keratoconjunctivitis
4013,37035,Neurotrophic keratoconjunctivitis
4014,37040,Keratoconjunctivitis
4015,37044,Keratitis or keratoconjunctivitis in exanthema
4016,37049,Other keratoconjunctivitis
4017,37050,Interstitial keratitis
4018,37052,Diffuse interstitial keratitis
4019,37054,Sclerosing keratitis
4020,37055,Corneal abscess
4021,37059,Other interstitial and deep keratitis
4022,37060,Corneal neovascularization
4023,37061,Localized vascularization of cornea
4024,37062,Pannus (corneal)
4025,37063,Deep vascularization of cornea
4026,37064,Ghost vessels (corneal)
4027,3708, Other forms of keratitis
4028,3709, Unspecified keratitis
4029,37100,Corneal opacity
4030,37101,Minor opacity of cornea
4031,37102,Peripheral opacity of cornea
4032,37103,Central opacity of cornea
4033,37104,Adherent leucoma
4034,37105,Phthisical cornea
4035,37110,Corneal deposit
4036,37111,Anterior corneal pigmentations
4037,37112,Stromal corneal pigmentations
4038,37113,Posterior corneal pigmentations
4039,37114,Kayser-Fleischer ring
4040,37115,Other corneal deposits associated with metabolic disorders
4041,37116,Argentous corneal deposits
4042,37120,Corneal edema
4043,37121,Idiopathic corneal edema
4044,37122,Secondary corneal edema
4045,37123,Bullous keratopathy
4046,37124,Corneal edema due to wearing of contact lenses
4047,37130,Corneal membrane change
4048,37131,Folds and rupture of bowman's membrane
4049,37132,Folds in descemet's membrane
4050,37133,Rupture in descemet's membrane
4051,37140,Corneal degeneration
4052,37141,Senile corneal changes
4053,37142,Recurrent erosion of cornea
4054,37143,Band-shaped keratopathy
4055,37144,Other calcerous degenerations of cornea
4056,37145,Keratomalacia NOS
4057,37146,Nodular degeneration of cornea
4058,37148,Peripheral degenerations of cornea
4059,37149,Other corneal degenerations
4060,37150,Hereditary corneal dystrophy
4061,37151,Juvenile epithelial corneal dystrophy
4062,37152,Other anterior corneal dystrophies
4063,37153,Granular corneal dystrophy
4064,37154,Lattice corneal dystrophy
4065,37155,Macular corneal dystrophy
4066,37156,Other stromal corneal dystrophies
4067,37157,Endothelial corneal dystrophy
4068,37158,Other posterior corneal dystrophies
4069,37160,Keratoconus
4070,37161,Keratoconus
4071,37162,Keratoconus
4072,37170,Corneal deformity
4073,37171,Corneal ectasia
4074,37172,Descemetocele
4075,37173,Corneal staphyloma
4076,37181,Corneal anesthesia and hypoesthesia
4077,37182,Corneal disorder due to contact lens
4078,37189,Other corneal disorders
4079,3719, Unspecified corneal disorder
4080,37200,Acute conjunctivitis
4081,37201,Serous conjunctivitis
4082,37202,Acute follicular conjunctivitis
4083,37203,Other mucopurulent conjunctivitis
4084,37204,Pseudomembranous conjunctivitis
4085,37205,Acute atopic conjunctivitis
4086,37206,Acute chemical conjunctivitis
4087,37210,Chronic conjunctivitis
4088,37211,Simple chronic conjunctivitis
4089,37212,Chronic follicular conjunctivitis
4090,37213,Vernal conjunctivitis
4091,37214,Other chronic allergic conjunctivitis
4092,37215,Parasitic conjunctivitis
4093,37220,Blepharoconjunctivitis
4094,37221,Angular blepharoconjunctivitis
4095,37222,Contact blepharoconjunctivitis
4096,37230,Conjunctivitis
4097,37231,Rosacea conjunctivitis
4098,37233,Conjunctivitis in mucocutaneous disease
4099,37234,Pingueculitis
4100,37239,Other conjunctivitis
4101,37240,Pterygium
4102,37241,Peripheral pterygium
4103,37242,Peripheral pterygium
4104,37243,Central pterygium
4105,37244,Double pterygium
4106,37245,Recurrent pterygium
4107,37250,Conjunctival degeneration
4108,37251,Pinguecula
4109,37252,Pseudopterygium
4110,37253,Conjunctival xerosis
4111,37254,Conjunctival concretions
4112,37255,Conjunctival pigmentations
4113,37256,Conjunctival deposits
4114,37261,Granuloma of conjunctiva
4115,37262,Localized adhesions and strands of conjunctiva
4116,37263,Symblepharon
4117,37264,Scarring of conjunctiva
4118,37271,Hyperemia of conjunctiva
4119,37272,Conjunctival hemorrhage
4120,37273,Conjunctival edema
4121,37274,Vascular abnormalities of conjunctiva
4122,37275,Conjunctival cysts
4123,37281,Conjunctivochalasis
4124,37289,Other disorders of conjunctiva
4125,3729, Unspecified disorder of conjunctiva
4126,37300,Blepharitis
4127,37301,Ulcerative blepharitis
4128,37302,Squamous blepharitis
4129,37311,Hordeolum externum
4130,37312,Hordeolum internum
4131,37313,Abscess of eyelid
4132,3732, Chalazion
4133,37331,Eczematous dermatitis of eyelid
4134,37332,Contact and allergic dermatitis of eyelid
4135,37333,Xeroderma of eyelid
4136,37334,Discoid lupus erythematosus of eyelid
4137,3734, Infective dermatitis of eyelid of types resulting in deformity
4138,3735, Other infective dermatitis of eyelid
4139,3736, Parasitic infestation of eyelid
4140,3738, Other inflammations of eyelids
4141,3739, Unspecified inflammation of eyelid
4142,37400,Entropion
4143,37401,Senile entropion
4144,37402,Mechanical entropion
4145,37403,Spastic entropion
4146,37404,Cicatricial entropion
4147,37405,Trichiasis of eyelid without entropion
4148,37410,Ectropion
4149,37411,Senile ectropion
4150,37412,Mechanical ectropion
4151,37413,Spastic ectropion
4152,37414,Cicatricial ectropion
4153,37420,Lagophthalmos
4154,37421,Paralytic lagophthalmos
4155,37422,Mechanical lagophthalmos
4156,37423,Cicatricial lagophthalmos
4157,37430,Ptosis of eyelid
4158,37431,Paralytic ptosis
4159,37432,Myogenic ptosis
4160,37433,Mechanical ptosis
4161,37434,Blepharochalasis
4162,37441,Lid retraction or lag
4163,37443,Abnormal innervation syndrome of eyelid
4164,37444,Sensory disorders of eyelid
4165,37445,Other sensorimotor disorders of eyelid
4166,37446,Blepharophimosis
4167,37450,Degenerative disorder of eyelid
4168,37451,Xanthelasma of eyelid
4169,37452,Hyperpigmentation of eyelid
4170,37453,Hypopigmentation of eyelid
4171,37454,Hypertrichosis of eyelid
4172,37455,Hypotrichosis of eyelid
4173,37456,Other degenerative disorders of skin affecting eyelid
4174,37481,Hemorrhage of eyelid
4175,37482,Edema of eyelid
4176,37483,Elephantiasis of eyelid
4177,37484,Cysts of eyelids
4178,37485,Vascular anomalies of eyelid
4179,37486,Retained foreign body of eyelid
4180,37487,Dermatochalasis
4181,37489,Other disorders of eyelid
4182,3749, Unspecified disorder of eyelid
4183,37500,Dacryoadenitis
4184,37501,Acute dacryoadenitis
4185,37502,Chronic dacryoadenitis
4186,37503,Chronic enlargement of lacrimal gland
4187,37511,Dacryops
4188,37512,Other lacrimal cysts and cystic degeneration
4189,37513,Primary lacrimal atrophy
4190,37514,Secondary lacrimal atrophy
4191,37515,Tear film insufficiency
4192,37516,Dislocation of lacrimal gland
4193,37520,Epiphora
4194,37521,Epiphora due to excess lacrimation
4195,37522,Epiphora due to insufficient drainage
4196,37530,Dacryocystitis
4197,37531,Acute canaliculitis
4198,37532,Acute dacryocystitis
4199,37533,Phlegmonous dacryocystitis
4200,37541,Chronic canaliculitis
4201,37542,Chronic dacryocystitis
4202,37543,Lacrimal mucocele
4203,37551,Eversion of lacrimal punctum
4204,37552,Stenosis of lacrimal punctum
4205,37553,Stenosis of lacrimal canaliculi
4206,37554,Stenosis of lacrimal sac
4207,37555,Obstruction of nasolacrimal duct
4208,37556,Stenosis of nasolacrimal duct
4209,37557,Dacryolith
4210,37561,Lacrimal fistula
4211,37569,Other changes of lacrimal passages
4212,37581,Granuloma of lacrimal passages
4213,37589,Other disorders of lacrimal system
4214,3759, Unspecified disorder of lacrimal system
4215,37600,Acute inflammation of orbit
4216,37601,Orbital cellulitis
4217,37602,Orbital periostitis
4218,37603,Orbital osteomyelitis
4219,37604,Orbital tenonitis
4220,37610,Chronic inflammation of orbit
4221,37611,Orbital granuloma
4222,37612,Orbital myositis
4223,37613,Parasitic infestation of orbit
4224,37621,Thyrotoxic exophthalmos
4225,37622,Exophthalmic ophthalmoplegia
4226,37630,Exophthalmos
4227,37631,Constant exophthalmos
4228,37632,Orbital hemorrhage
4229,37633,Orbital edema or congestion
4230,37634,Intermittent exophthalmos
4231,37635,Pulsating exophthalmos
4232,37636,Lateral displacement of globe
4233,37640,Deformity of orbit
4234,37641,Hypertelorism of orbit
4235,37642,Exostosis of orbit
4236,37643,Local deformities of orbit due to bone disease
4237,37644,Orbital deformities associated with craniofacial deformities
4238,37645,Atrophy of orbit
4239,37646,Enlargement of orbit
4240,37647,Deformity of orbit due to trauma or surgery
4241,37650,Enophthalmos
4242,37651,Enophthalmos due to atrophy of orbital tissue
4243,37652,Enophthalmos due to trauma or surgery
4244,3766, Retained (old) foreign body following penetrating wound of orbit
4245,37681,Orbital cysts
4246,37682,Myopathy of extraocular muscles
4247,37689,Other orbital disorders
4248,3769, Unspecified disorder of orbit
4249,37700,Papilledema
4250,37701,Papilledema associated with increased intracranial pressure
4251,37702,Papilledema associated with decreased ocular pressure
4252,37703,Papilledema associated with retinal disorder
4253,37704,Foster-Kennedy syndrome
4254,37710,Optic atrophy
4255,37711,Primary optic atrophy
4256,37712,Postinflammatory optic atrophy
4257,37713,Optic atrophy associated with retinal dystrophies
4258,37714,Glaucomatous atrophy [cupping] of optic disc
4259,37715,Partial optic atrophy
4260,37716,Hereditary optic atrophy
4261,37721,Drusen of optic disc
4262,37722,Crater-like holes of optic disc
4263,37723,Coloboma of optic disc
4264,37724,Pseudopapilledema
4265,37730,Optic neuritis
4266,37731,Optic papillitis
4267,37732,Retrobulbar neuritis (acute)
4268,37733,Nutritional optic neuropathy
4269,37734,Toxic optic neuropathy
4270,37739,Other optic neuritis
4271,37741,Ischemic optic neuropathy
4272,37742,Hemorrhage in optic nerve sheaths
4273,37743,Optic nerve hypoplasia
4274,37749,Other disorders of optic nerve
4275,37751,Disorders of optic chiasm associated with pituitary neoplasms and disorders
4276,37752,Disorders of optic chiasm associated with other neoplasms
4277,37753,Disorders of optic chiasm associated with vascular disorders
4278,37754,Disorders of optic chiasm associated with inflammatory disorders
4279,37761,Disorders of other visual pathways associated with neoplasms
4280,37762,Disorders of other visual pathways associated with vascular disorders
4281,37763,Disorders of other visual pathways associated with inflammatory disorders
4282,37771,Disorders of visual cortex associated with neoplasms
4283,37772,Disorders of visual cortex associated with vascular disorders
4284,37773,Disorders of visual cortex associated with inflammatory disorders
4285,37775,Cortical blindness
4286,3779, Unspecified disorder of optic nerve and visual pathways
4287,37800,Esotropia
4288,37801,Monocular esotropia
4289,37802,Monocular esotropia with A pattern
4290,37803,Monocular esotropia with V pattern
4291,37804,Monocular esotropia with other noncomitancies
4292,37805,Alternating esotropia
4293,37806,Alternating esotropia with A pattern
4294,37807,Alternating esotropia with V pattern
4295,37808,Alternating esotropia with other noncomitancies
4296,37810,Exotropia
4297,37811,Monocular exotropia
4298,37812,Monocular exotropia with A pattern
4299,37813,Monocular exotropia with V pattern
4300,37814,Monocular exotropia with other noncomitancies
4301,37815,Alternating exotropia
4302,37816,Alternating exotropia with A pattern
4303,37817,Alternating exotropia with V pattern
4304,37818,Alternating exotropia with other noncomitancies
4305,37820,Intermittent heterotropia
4306,37821,Intermittent esotropia
4307,37822,Intermittent esotropia
4308,37823,Intermittent exotropia
4309,37824,Intermittent exotropia
4310,37830,Heterotropia
4311,37831,Hypertropia
4312,37832,Hypotropia
4313,37833,Cyclotropia
4314,37834,Monofixation syndrome
4315,37835,Accommodative component in esotropia
4316,37840,Heterophoria
4317,37841,Esophoria
4318,37842,Exophoria
4319,37843,Vertical heterophoria
4320,37844,Cyclophoria
4321,37845,Alternating hyperphoria
4322,37850,Paralytic strabismus
4323,37851,Third or oculomotor nerve palsy
4324,37852,Third or oculomotor nerve palsy
4325,37853,Fourth or trochlear nerve palsy
4326,37854,Sixth or abducens nerve palsy
4327,37855,External ophthalmoplegia
4328,37856,Total ophthalmoplegia
4329,37860,Mechanical strabismus
4330,37861,Brown's (tendon) sheath syndrome
4331,37862,Mechanical strabismus from other musculofascial disorders
4332,37863,Limited duction associated with other conditions
4333,37871,Duane's syndrome
4334,37872,Progressive external ophthalmoplegia
4335,37873,Strabismus in other neuromuscular disorders
4336,37881,Palsy of conjugate gaze
4337,37882,Spasm of conjugate gaze
4338,37883,Convergence insufficiency or palsy
4339,37884,Convergence excess or spasm
4340,37885,Anomalies of divergence
4341,37886,Internuclear ophthalmoplegia
4342,37887,Other dissociated deviation of eye movements
4343,3789, Unspecified disorder of eye movements
4344,37900,Scleritis
4345,37901,Episcleritis periodica fugax
4346,37902,Nodular episcleritis
4347,37903,Anterior scleritis
4348,37904,Scleromalacia perforans
4349,37905,Scleritis with corneal involvement
4350,37906,Brawny scleritis
4351,37907,Posterior scleritis
4352,37909,Other scleritis and episcleritis
4353,37911,Scleral ectasia
4354,37912,Staphyloma posticum
4355,37913,Equatorial staphyloma
4356,37914,Anterior staphyloma
4357,37915,Ring staphyloma
4358,37916,Other degenerative disorders of sclera
4359,37919,Other disorders of sclera
4360,37921,Vitreous degeneration
4361,37922,Crystalline deposits in vitreous
4362,37923,Vitreous hemorrhage
4363,37924,Other vitreous opacities
4364,37925,Vitreous membranes and strands
4365,37926,Vitreous prolapse
4366,37927,Vitreomacular adhesion
4367,37929,Other disorders of vitreous
4368,37931,Aphakia
4369,37932,Subluxation of lens
4370,37933,Anterior dislocation of lens
4371,37934,Posterior dislocation of lens
4372,37939,Other disorders of lens
4373,37940,Abnormal pupillary function
4374,37941,Anisocoria
4375,37942,Miosis (persistent)
4376,37943,Mydriasis (persistent)
4377,37945,Argyll Robertson pupil
4378,37946,Tonic pupillary reaction
4379,37949,Other anomalies of pupillary function
4380,37950,Nystagmus
4381,37951,Congenital nystagmus
4382,37952,Latent nystagmus
4383,37953,Visual deprivation nystagmus
4384,37954,Nystagmus associated with disorders of the vestibular system
4385,37955,Dissociated nystagmus
4386,37956,Other forms of nystagmus
4387,37957,Deficiencies of saccadic eye movements
4388,37958,Deficiencies of smooth pursuit movements
4389,37959,Other irregularities of eye movements
4390,37960,Inflammation (infection) of postprocedural bleb
4391,37961,Inflammation (infection) of postprocedural bleb
4392,37962,Inflammation (infection) of postprocedural bleb
4393,37963,Inflammation (infection) of postprocedural bleb
4394,3798, Other specified disorders of eye and adnexa
4395,37990,Disorder of eye
4396,37991,Pain in or around eye
4397,37992,Swelling or mass of eye
4398,37993,Redness or discharge of eye
4399,37999,Other ill-defined disorders of eye
4400,38000,Perichondritis of pinna
4401,38001,Acute perichondritis of pinna
4402,38002,Chronic perichondritis of pinna
